Feature set 1;Feature set 2;Feature set 3;Feature set 4;Feature set 5
lspFreq_sma.1._linregc1;lspFreq_sma_de.5._linregc1;lspFreq_sma.6._kurtosis;lspFreq_sma.6._kurtosis;mfcc_sma.3._kurtosis
mfcc_sma.3._kurtosis;lspFreq_sma_de.4._kurtosis;F0_sma_de_quartile2;voiceProb_sma_de_linregerrQ;voiceProb_sma_quartile3
mfcc_sma_de.7._linregc2;mfcc_sma_de.7._linregc2;voiceProb_sma_de_linregerrQ;lspFreq_sma_de.2._linregc2;pcm_loudness_sma_de_amean
voiceProb_sma_de_linregerrQ;lspFreq_sma_de.2._amean;F0env_sma_kurtosis;mfcc_sma_de.6._linregc2;pcm_zcr_sma_de_linregc2
mfcc_sma.8._quartile3;mfcc_sma.10._linregc1;mfcc_sma_de.6._linregc2;mfcc_sma.10._iqr1.2;lspFreq_sma_de.0._iqr1.2
F0env_sma_kurtosis;pcm_zcr_sma_de_linregc2;mfcc_sma_de.8._amean;lspFreq_sma.6._min;mfcc_sma_de.11._linregc2
lspFreq_sma_de.6._iqr2.3;lspFreq_sma_de.6._linregc2;mfcc_sma.11._amean;F0env_sma_kurtosis;lspFreq_sma.6._kurtosis
lspFreq_sma.6._kurtosis;lspFreq_sma.1._kurtosis;lspFreq_sma.7._quartile3;lspFreq_sma.4._skewness;mfcc_sma.8._quartile3
pcm_zcr_sma_de_linregc2;mfcc_sma_de.1._kurtosis;mfcc_sma.3._kurtosis;mfcc_sma.3._kurtosis;mfcc_sma.11._amean
pcm_loudness_sma_de_amean;lspFreq_sma_de.7._linregc2;mfcc_sma_de.7._linregc2;F0env_sma_stddev;lspFreq_sma.4._max
lspFreq_sma.5._skewness;mfcc_sma.1._kurtosis;pcm_loudness_sma_de_amean;pcm_zcr_sma_kurtosis;lspFreq_sma_de.5._linregc1
mfcc_sma_de.11._linregc2;lspFreq_sma.5._skewness;lspFreq_sma.7._iqr1.2;mfcc_sma.4._quartile2;lspFreq_sma_de.3._iqr1.2
mfcc_sma.6._quartile2;mfcc_sma.11._iqr1.2;mfcc_sma_de.2._quartile3;mfcc_sma.7._quartile3;F0env_sma_de_quartile1
mfcc_sma_de.6._quartile3;mfcc_sma.3._iqr1.3;voiceProb_sma_quartile3;lspFreq_sma.5._iqr2.3;mfcc_sma.6._iqr2.3
mfcc_sma.12._quartile3;lspFreq_sma_de.5._linregc2;lspFreq_sma.4._skewness;mfcc_sma.8._quartile3;mfcc_sma.7._skewness
F0_sma_de_quartile2;pcm_intensity_sma_de_linregerrQ;mfcc_sma.7._linregc2;mfcc_sma_de.7._linregc2;mfcc_sma.5._linregerrA
lspFreq_sma.7._iqr1.3;lspFreq_sma.6._stddev;mfcc_sma.2._linregerrQ;lspFreq_sma.1._linregerrQ;mfcc_sma.12._quartile3
mfcc_sma.1._iqr1.3;mfcc_sma.6._linregc1;mfcc_sma_de.6._quartile1;pcm_loudness_sma_de_amean;pcm_loudness_sma_de_skewness
mfcc_sma.10._iqr1.2;lspFreq_sma.2._linregc1;mfcc_sma.1._kurtosis;lspFreq_sma_de.7._linregc2;mfcc_sma_de.7._linregc2
pcm_intensity_sma_quartile2;pcm_loudness_sma_de_amean;lspFreq_sma_de.5._linregc1;lspFreq_sma.7._iqr1.3;mfcc_sma_de.1._skewness
pcm_zcr_sma_kurtosis;mfcc_sma_de.11._linregc2;pcm_zcr_sma_de_quartile1;mfcc_sma.2._linregerrQ;mfcc_sma.2._linregerrQ
voiceProb_sma_quartile3;F0env_sma_kurtosis;pcm_zcr_sma_kurtosis;F0env_sma_de_linregc1;lspFreq_sma.1._linregc2
mfcc_sma.6._iqr2.3;lspFreq_sma.5._iqr2.3;lspFreq_sma.1._linregc2;mfcc_sma.7._quartile1;lspFreq_sma.7._iqr1.3
F0env_sma_de_quartile1;mfcc_sma.12._linregc1;mfcc_sma_de.3._quartile2;mfcc_sma.12._quartile3;lspFreq_sma.5._max
lspFreq_sma.4._stddev;lspFreq_sma.7._iqr1.2;mfcc_sma.6._iqr2.3;mfcc_sma_de.1._quartile2;mfcc_sma.12._iqr2.3
lspFreq_sma.1._quartile3;pcm_zcr_sma_kurtosis;mfcc_sma.8._min;mfcc_sma.1._iqr1.2;mfcc_sma_de.3._quartile2
pcm_loudness_sma_de_skewness;mfcc_sma.5._linregc1;F0env_sma_de_linregc1;mfcc_sma.12._skewness;mfcc_sma_de.1._kurtosis
mfcc_sma.4._amean;voiceProb_sma_de_linregerrQ;pcm_loudness_sma_de_skewness;pcm_loudness_sma_de_kurtosis;mfcc_sma.4._quartile3
mfcc_sma_de.1._skewness;lspFreq_sma_de.1._iqr2.3;mfcc_sma_de.1._skewness;lspFreq_sma_de.5._kurtosis;mfcc_sma.7._quartile1
lspFreq_sma.1._linregerrQ;mfcc_sma_de.12._quartile3;lspFreq_sma_de.4._range;mfcc_sma.7._linregc1;lspFreq_sma.4._skewness
mfcc_sma.10._min;mfcc_sma.10._quartile3;lspFreq_sma.5._skewness;mfcc_sma.4._quartile3;mfcc_sma.6._minPos
mfcc_sma_de.4._quartile3;mfcc_sma_de.8._quartile2;mfcc_sma.8._quartile3;voiceProb_sma_de_kurtosis;mfcc_sma.11._iqr1.2
F0env_sma_linregc2;mfcc_sma_de.10._linregc1;lspFreq_sma.6._iqr2.3;mfcc_sma_de.5._quartile1;lspFreq_sma.5._iqr2.3
mfcc_sma_de.8._quartile2;mfcc_sma_de.2._amean;mfcc_sma_de.5._iqr2.3;mfcc_sma.7._skewness;mfcc_sma.9._iqr1.2
mfcc_sma.7._quartile3;mfcc_sma.4._amean;lspFreq_sma.5._iqr2.3;mfcc_sma_de.2._amean;mfcc_sma.10._iqr1.2
mfcc_sma.1._iqr1.2;mfcc_sma.10._iqr1.2;mfcc_sma_de.2._iqr1.2;mfcc_sma.8._min;F0_sma_de_quartile2
pcm_zcr_sma_maxPos;mfcc_sma.6._iqr2.3;mfcc_sma.6._quartile2;lspFreq_sma_de.3._skewness;lspFreq_sma.7._iqr1.2
lspFreq_sma_de.7._amean;lspFreq_sma.1._linregerrQ;lspFreq_sma_de.1._quartile3;lspFreq_sma.7._iqr1.2;voiceProb_sma_de_quartile2
pcm_intensity_sma_minPos;mfcc_sma.8._min;F0env_sma_de_quartile1;lspFreq_sma_de.7._amean;lspFreq_sma.7._linregerrQ
mfcc_sma.11._quartile3;lspFreq_sma.4._skewness;mfcc_sma.6._minPos;mfcc_sma.11._kurtosis;lspFreq_sma_de.5._kurtosis
lspFreq_sma.4._skewness;lspFreq_sma_de.3._iqr1.2;mfcc_sma.10._iqr1.2;pcm_loudness_sma_de_skewness;mfcc_sma.4._min
mfcc_sma.5._linregerrQ;mfcc_sma.2._stddev;voiceProb_sma_skewness;mfcc_sma_de.6._iqr2.3;mfcc_sma_de.4._linregerrQ
mfcc_sma.6._kurtosis;mfcc_sma.7._skewness;lspFreq_sma_de.6._quartile3;lspFreq_sma.1._quartile2;mfcc_sma_de.7._iqr2.3
lspFreq_sma.5._iqr1.3;mfcc_sma_de.6._stddev;pcm_zcr_sma_maxPos;mfcc_sma_de.8._quartile2;lspFreq_sma_de.3._min
mfcc_sma.7._quartile1;F0_sma_stddev;mfcc_sma_de.9._minPos;mfcc_sma_de.11._range;mfcc_sma_de.2._linregc2
voiceProb_sma_de_amean;lspFreq_sma_de.3._linregerrQ;mfcc_sma.7._skewness;mfcc_sma.6._iqr2.3;lspFreq_sma.0._minPos
F0env_sma_linregc1;mfcc_sma_de.2._iqr2.3;mfcc_sma.12._quartile3;lspFreq_sma_de.7._quartile1;F0env_sma_range
lspFreq_sma.0._linregerrQ;F0env_sma_skewness;mfcc_sma.4._amean;lspFreq_sma.7._linregerrQ;mfcc_sma.6._kurtosis
lspFreq_sma.3._minPos;lspFreq_sma_de.5._kurtosis;mfcc_sma.6._linregc2;F0env_sma_de_quartile1;mfcc_sma.6._linregc2
mfcc_sma_de.10._iqr1.2;lspFreq_sma_de.1._minPos;mfcc_sma_de.4._skewness;mfcc_sma_de.5._range;mfcc_sma_de.1._amean
mfcc_sma.7._skewness;mfcc_sma.3._stddev;mfcc_sma.10._linregerrQ;mfcc_sma_de.12._iqr2.3;lspFreq_sma.1._linregerrQ
mfcc_sma.6._minPos;mfcc_sma_de.4._linregerrQ;mfcc_sma_de.1._kurtosis;pcm_intensity_sma_quartile1;mfcc_sma_de.6._linregc2
mfcc_sma.7._linregc2;mfcc_sma.7._linregerrQ;lspFreq_sma.1._linregc1;voiceProb_sma_de_amean;F0env_sma_quartile1
mfcc_sma.10._linregc1;F0env_sma_de_quartile1;mfcc_sma_de.1._quartile2;lspFreq_sma.1._linregc2;mfcc_sma_de.10._quartile1
lspFreq_sma_de.5._linregerrQ;mfcc_sma.6._linregc2;lspFreq_sma_de.5._kurtosis;mfcc_sma_de.3._skewness;mfcc_sma.2._maxPos
lspFreq_sma_de.5._kurtosis;mfcc_sma_de.10._iqr1.2;lspFreq_sma.6._min;mfcc_sma_de.4._kurtosis;mfcc_sma.7._linregc1
mfcc_sma.2._linregerrQ;mfcc_sma_de.6._linregc2;lspFreq_sma.2._iqr2.3;mfcc_sma_de.12._linregc2;mfcc_sma.1._iqr1.2
mfcc_sma.11._minPos;mfcc_sma.5._quartile3;lspFreq_sma.1._amean;mfcc_sma.10._skewness;mfcc_sma_de.1._quartile2
lspFreq_sma_de.7._quartile1;mfcc_sma_de.11._kurtosis;lspFreq_sma.2._min;F0env_sma_max;voiceProb_sma_de_linregerrQ
lspFreq_sma_de.0._minPos;lspFreq_sma_de.0._iqr1.2;mfcc_sma.4._kurtosis;mfcc_sma_de.9._minPos;pcm_intensity_sma_kurtosis
mfcc_sma_de.6._linregc2;lspFreq_sma.3._quartile2;mfcc_sma.11._iqr1.2;F0_sma_de_min;mfcc_sma_de.6._quartile3
lspFreq_sma.3._range;lspFreq_sma.7._iqr1.3;mfcc_sma.10._skewness;mfcc_sma.6._linregc2;pcm_zcr_sma_kurtosis
mfcc_sma.9._linregc2;pcm_loudness_sma_de_linregerrQ;lspFreq_sma.1._linregerrQ;mfcc_sma_de.12._linregerrQ;lspFreq_sma.0._linregerrQ
mfcc_sma_de.1._quartile2;lspFreq_sma_de.0._kurtosis;mfcc_sma_de.12._linregc2;lspFreq_sma_de.3._iqr1.2;lspFreq_sma.5._quartile3
F0_sma_de_iqr1.3;lspFreq_sma_de.7._kurtosis;lspFreq_sma.0._kurtosis;lspFreq_sma_de.7._linregerrQ;lspFreq_sma.6._stddev
lspFreq_sma_de.2._amean;lspFreq_sma.1._quartile2;voiceProb_sma_de_quartile2;pcm_zcr_sma_de_skewness;lspFreq_sma.5._maxPos
mfcc_sma_de.10._min;voiceProb_sma_quartile1;mfcc_sma.7._quartile3;mfcc_sma.11._linregc2;lspFreq_sma_de.7._quartile2
pcm_loudness_sma_de_kurtosis;mfcc_sma_de.8._amean;mfcc_sma_de.11._linregc2;lspFreq_sma_de.6._stddev;lspFreq_sma.2._kurtosis
mfcc_sma_de.5._kurtosis;voiceProb_sma_quartile3;lspFreq_sma.7._iqr1.3;lspFreq_sma.0._linregerrQ;mfcc_sma.10._quartile3
mfcc_sma_de.3._quartile2;lspFreq_sma.6._quartile1;F0_sma_de_skewness;mfcc_sma.6._minPos;mfcc_sma_de.2._amean
lspFreq_sma.2._min;mfcc_sma_de.8._linregerrQ;mfcc_sma.9._iqr1.2;lspFreq_sma_de.2._amean;lspFreq_sma_de.4._range
F0env_sma_de_linregc1;mfcc_sma.7._linregc2;mfcc_sma.9._minPos;mfcc_sma.1._max;mfcc_sma_de.5._iqr1.3
lspFreq_sma_de.6._quartile1;mfcc_sma_de.9._minPos;pcm_intensity_sma_iqr2.3;mfcc_sma_de.11._linregc2;mfcc_sma_de.2._iqr1.3
mfcc_sma_de.3._quartile3;mfcc_sma_de.3._quartile3;mfcc_sma.2._iqr1.2;mfcc_sma.5._stddev;mfcc_sma.9._minPos
lspFreq_sma.7._quartile3;mfcc_sma.6._minPos;lspFreq_sma_de.0._minPos;F0_sma_linregc1;pcm_zcr_sma_maxPos
mfcc_sma.11._kurtosis;mfcc_sma_de.1._skewness;mfcc_sma.4._maxPos;mfcc_sma.6._kurtosis;mfcc_sma_de.6._iqr1.3
mfcc_sma_de.7._quartile2;lspFreq_sma_de.6._quartile1;mfcc_sma.2._minPos;F0_sma_iqr2.3;mfcc_sma_de.5._iqr2.3
mfcc_sma_de.11._quartile2;mfcc_sma_de.12._linregerrQ;mfcc_sma_de.7._quartile2;lspFreq_sma_de.1._minPos;mfcc_sma_de.2._iqr2.3
mfcc_sma.8._min;lspFreq_sma.3._range;mfcc_sma.10._quartile3;mfcc_sma_de.10._quartile1;lspFreq_sma_de.1._quartile3
F0_sma_de_skewness;F0env_sma_maxPos;mfcc_sma.12._iqr2.3;lspFreq_sma_de.5._iqr1.2;lspFreq_sma.6._min
F0env_sma_range;lspFreq_sma.6._kurtosis;mfcc_sma.5._linregerrQ;mfcc_sma.10._linregc1;mfcc_sma.10._kurtosis
mfcc_sma_de.5._quartile1;mfcc_sma.2._maxPos;lspFreq_sma_de.5._quartile2;mfcc_sma_de.3._iqr1.2;mfcc_sma_de.5._kurtosis
lspFreq_sma.3._iqr1.2;lspFreq_sma.0._kurtosis;lspFreq_sma.1._quartile2;mfcc_sma_de.2._iqr2.3;lspFreq_sma.2._minPos
mfcc_sma_de.2._quartile3;lspFreq_sma.1._linregc2;pcm_zcr_sma_de_skewness;mfcc_sma.12._linregc2;F0_sma_de_min
lspFreq_sma_de.7._quartile2;mfcc_sma_de.10._stddev;lspFreq_sma.4._iqr1.2;mfcc_sma.9._minPos;F0_sma_de_skewness
lspFreq_sma.4._min;lspFreq_sma_de.0._minPos;pcm_intensity_sma_minPos;mfcc_sma_de.11._skewness;pcm_zcr_sma_iqr1.2
lspFreq_sma.7._iqr2.3;mfcc_sma_de.2._quartile3;F0env_sma_max;mfcc_sma.1._range;mfcc_sma.2._kurtosis
mfcc_sma_de.2._amean;mfcc_sma_de.3._quartile2;mfcc_sma.10._min;lspFreq_sma.3._minPos;mfcc_sma_de.11._skewness
lspFreq_sma_de.4._max;mfcc_sma_de.7._iqr1.2;mfcc_sma.11._kurtosis;lspFreq_sma_de.6._range;F0_sma_iqr2.3
mfcc_sma_de.6._max;F0_sma_maxPos;mfcc_sma_de.9._quartile2;mfcc_sma.2._quartile2;pcm_intensity_sma_de_iqr1.2
lspFreq_sma.5._max;lspFreq_sma_de.4._linregc1;mfcc_sma.8._iqr2.3;mfcc_sma.6._quartile2;lspFreq_sma.3._range
lspFreq_sma_de.3._min;lspFreq_sma.0._linregerrA;F0env_sma_maxPos;lspFreq_sma.1._min;mfcc_sma_de.3._iqr1.2
